,Content ID,Content Type,Category,Reaction Type,Month,Score
214,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,super love,10,75
215,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,intrigued,7,45
216,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,intrigued,10,45
217,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,worried,7,12
218,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,like,1,50
219,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,heart,8,60
220,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,heart,10,60
221,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,want,12,70
222,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,adore,8,72
223,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,adore,4,72
309,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,audio,travel,intrigued,3,45
543,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,disgust,9,0
544,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,disgust,7,0
545,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,peeking,8,35
546,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,peeking,12,35
547,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,love,12,65
548,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,love,4,65
549,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,indifferent,2,20
550,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,super love,12,75
551,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,intrigued,12,45
552,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,worried,5,12
553,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,like,6,50
554,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,heart,2,60
555,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,heart,10,60
556,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,want,12,70
557,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,want,11,70
558,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,adore,9,72
559,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,adore,4,72
560,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,adore,1,72
604,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,disgust,4,0
605,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,disgust,8,0
606,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,dislike,2,10
607,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,scared,1,15
608,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,interested,4,30
609,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,interested,9,30
610,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,interested,3,30
611,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,interested,10,30
612,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,peeking,6,35
613,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,peeking,3,35
614,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,cherish,3,70
615,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,cherish,8,70
616,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,cherish,10,70
617,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,hate,2,5
618,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,hate,4,5
619,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,hate,8,5
620,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,love,5,65
621,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,love,4,65
622,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,love,11,65
623,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,love,10,65
624,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,indifferent,6,20
625,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,indifferent,4,20
626,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,indifferent,8,20
627,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,intrigued,1,45
628,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,intrigued,5,45
629,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,worried,3,12
630,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,worried,11,12
631,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,worried,4,12
632,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,like,9,50
633,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,heart,8,60
634,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,heart,3,60
635,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,heart,9,60
636,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,heart,7,60
637,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,want,6,70
638,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,adore,7,72
639,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,adore,4,72
640,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,adore,5,72
641,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,adore,1,72
681,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,disgust,3,0
682,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,dislike,5,10
683,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,dislike,12,10
684,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,dislike,4,10
685,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,scared,8,15
686,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,interested,1,30
687,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,peeking,12,35
688,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,cherish,6,70
689,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,cherish,11,70
690,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,hate,3,5
691,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,hate,12,5
692,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,indifferent,8,20
693,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,super love,4,75
694,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,super love,10,75
695,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,super love,6,75
696,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,super love,3,75
697,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,intrigued,6,45
698,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,worried,12,12
699,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,like,10,50
700,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,want,4,70
701,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,want,2,70
702,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,adore,12,72
703,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,adore,7,72
704,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,adore,3,72
705,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,adore,4,72
825,07f88a73-aef2-45fd-8b5d-418e448b853d,GIF,animals,scared,5,15
826,07f88a73-aef2-45fd-8b5d-418e448b853d,GIF,animals,cherish,3,70
827,07f88a73-aef2-45fd-8b5d-418e448b853d,GIF,animals,hate,12,5
828,07f88a73-aef2-45fd-8b5d-418e448b853d,GIF,animals,hate,1,5
829,07f88a73-aef2-45fd-8b5d-418e448b853d,GIF,animals,love,5,65
830,07f88a73-aef2-45fd-8b5d-418e448b853d,GIF,animals,intrigued,10,45
831,07f88a73-aef2-45fd-8b5d-418e448b853d,GIF,animals,like,12,50
832,07f88a73-aef2-45fd-8b5d-418e448b853d,GIF,animals,adore,2,72
833,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,disgust,8,0
834,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,disgust,10,0
835,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,dislike,3,10
836,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,scared,2,15
837,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,scared,6,15
838,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,scared,8,15
839,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,interested,10,30
840,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,peeking,11,35
841,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,cherish,9,70
842,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,hate,12,5
843,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,love,1,65
844,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,intrigued,9,45
845,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,like,9,50
846,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,heart,5,60
847,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,heart,7,60
848,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,adore,2,72
849,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,adore,11,72
850,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,adore,8,72
851,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,6,0
852,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,1,0
853,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,5,0
854,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,10,0
855,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,7,0
856,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,dislike,9,10
857,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,dislike,4,10
858,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,scared,2,15
859,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,interested,12,30
860,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,interested,9,30
861,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,interested,4,30
862,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,peeking,2,35
863,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,peeking,12,35
864,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,peeking,6,35
865,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,cherish,9,70
866,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,hate,1,5
867,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,love,2,65
868,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,indifferent,6,20
869,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,indifferent,1,20
870,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,super love,3,75
871,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,super love,11,75
872,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,super love,4,75
873,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,super love,6,75
874,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,intrigued,10,45
875,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,intrigued,3,45
876,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,intrigued,1,45
877,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,worried,5,12
878,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,worried,3,12
879,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,worried,1,12
880,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,like,7,50
881,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,like,12,50
882,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,like,3,50
883,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,heart,10,60
884,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,heart,3,60
885,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,want,4,70
886,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,want,8,70
887,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,want,1,70
888,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,adore,10,72
889,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,adore,12,72
890,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,adore,7,72
891,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,adore,11,72
892,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,adore,4,72
893,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,adore,5,72
894,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,disgust,9,0
895,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,dislike,4,10
896,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,dislike,12,10
897,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,dislike,5,10
898,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,dislike,10,10
899,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,scared,10,15
900,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,interested,7,30
901,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,interested,1,30
902,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,peeking,7,35
903,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,cherish,4,70
904,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,cherish,11,70
905,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,cherish,8,70
906,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,hate,1,5
907,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,love,2,65
908,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,indifferent,5,20
909,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,indifferent,4,20
910,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,indifferent,1,20
911,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,intrigued,10,45
912,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,worried,7,12
913,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,like,7,50
914,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,like,2,50
915,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,heart,9,60
916,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,heart,4,60
917,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,want,10,70
918,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,adore,9,72
919,16757b80-2803-4464-b5d7-e372d8d77337,GIF,technology,hate,11,5
943,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,disgust,7,0
944,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,dislike,9,10
945,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,interested,10,30
946,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,interested,9,30
947,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,interested,5,30
948,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,cherish,11,70
949,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,hate,7,5
950,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,hate,3,5
951,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,love,9,65
952,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,super love,10,75
953,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,super love,6,75
954,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,worried,7,12
955,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,like,12,50
1048,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,disgust,9,0
1049,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,disgust,10,0
1050,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,disgust,3,0
1051,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,dislike,10,10
1052,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,scared,8,15
1053,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,scared,5,15
1054,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,scared,12,15
1055,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,peeking,5,35
1056,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,peeking,4,35
1057,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,cherish,4,70
1058,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,hate,11,5
1059,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,hate,10,5
1060,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,love,9,65
1061,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,love,8,65
1062,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,indifferent,4,20
1063,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,indifferent,5,20
1064,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,indifferent,11,20
1065,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,indifferent,8,20
1066,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,super love,1,75
1067,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,worried,8,12
1068,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,like,12,50
1069,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,want,7,70
1070,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,want,5,70
1071,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,adore,4,72
1072,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,adore,1,72
1073,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,adore,8,72
1173,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,9,0
1174,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,11,0
1175,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,1,0
1176,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,6,0
1177,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,dislike,12,10
1178,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,dislike,4,10
1179,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,scared,7,15
1180,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,scared,3,15
1181,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,interested,12,30
1182,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,interested,3,30
1183,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,peeking,12,35
1184,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,peeking,11,35
1185,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,peeking,1,35
1186,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,peeking,9,35
1187,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,peeking,8,35
1188,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,cherish,7,70
1189,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,cherish,2,70
1190,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,hate,5,5
1191,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,hate,6,5
1192,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,hate,4,5
1193,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,love,4,65
1194,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,love,10,65
1195,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,indifferent,9,20
1196,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,intrigued,7,45
